title,link,data_added
"Financial Controller till Life Science bolag, Uppsala",https://meritmind.se/karriar/lediga-jobb/financial-controller-uppsala/,14/06/25
"Projektledare för förändringsarbete inom ekonomiprocesser, Tierp.",https://meritmind.se/karriar/lediga-jobb/projektledare-for-forandringsarbete-inom-ekonomiprocesser-tierp/,14/06/25
"Projektledare till takbolag inför certifiering, Uppsala",https://meritmind.se/karriar/lediga-jobb/projektledare-till-takbolag-infor-certifiering-uppsala/,14/06/25
Ekonomer sökes till Uppsala,https://meritmind.se/karriar/lediga-jobb/ekonomer-sokes-till-uppsala-2/,14/06/25
